Provincias,Latitud,Longitud
CIUDAD DE LA HABANA,23.10796,-82.38548
MATANZAS,23.18443,-81.55852
ISLA DE LA JUVENTUD,21.71776,-82.97237
ARTEMISA,22.8136,-82.7594
MAYABEQUE,22.9614,-82.0275
PINAR DEL RIO,22.4167,-83.6981
VILLA CLARA,22.60467,-79.9667
CIENFUEGOS,22.17812,-80.43432
SANCTI SPIRITUS,21.92261,-79.44415
CIEGO DE AVILA,21.84,-78.7619
CAMAGUEY,21.37879,-77.897
LAS TUNAS,20.96136,-76.94632
HOLGUIN,20.91117,-76.28455
GRANMA,20.35369,-76.63378
SANTIAGO DE CUBA,20.03782,-75.83343
GUANTANAMO,20.17768,-75.24462
